metro,pop_1317,pop_1822,pop_growth
"Tyler, TX",222277.0,234667.0,0.055741259779464425
"Union City, TN",36918.0,30670.0,-0.16923993715802588
"Urbana, OH",39005.0,38715.0,-0.0074349442379182396
"Vallejo, CA",434981.0,450995.0,0.03681540113246329
"Van Wert, OH",28262.0,28833.0,0.020203807232326065
"Vicksburg, MS",56616.0,44341.0,-0.21681150204889077
"Victoria, TX",99028.0,98301.0,-0.007341357999757658
"Vineland, NJ",154952.0,153588.0,-0.008802726005472716
"Virginia Beach, VA",1717708.0,1798025.0,0.04675823830359982
"Wahpeton, ND",22731.0,23002.0,0.011922044784655306
"Wapakoneta, OH",45778.0,46263.0,0.010594608764035174
